id,target
2142,0
3846,0
6177,0
11779,0
1593,0
14748,0
11962,0
3464,0
12335,0
8760,0
7516,0
901,0
6254,0
2588,0
1471,0
3368,0
12929,0
913,0
4245,0
12917,0
14499,0
6833,0
5366,0
7432,0
8247,0
11905,0
11551,0
6156,0
1109,0
9402,0
10371,0
13591,0
14529,0
355,0
12893,0
8715,0
1520,0
9585,0
10131,0
3399,0
9207,0
6531,0
2897,0
11846,0
12614,0
2155,0
169,0
992,0
4027,0
10783,0
670,0
14809,0
4748,0
10629,0
11913,0
12869,0
8473,0
10590,0
3185,0
4653,0
9026,0
12369,0
13440,0
5341,0
4768,0
5348,0
13400,0
8962,0
68,0
8110,0
14990,0
5764,0
216,0
12418,0
650,0
4452,0
6605,0
13060,0
14260,0
9035,0
11182,0
3819,0
10739,0
6032,0
5645,0
14707,0
3196,0
13507,0
12679,0
3098,0
724,0
9872,0
7131,0
7062,0
667,0
6016,0
2953,0
5521,0
13518,0
3014,0
4949,0
573,0
9229,0
2197,0
5898,0
8616,0
13387,0
11591,0
12134,0
1864,0
2989,0
5894,0
10205,0
13194,0
4095,0
13195,0
210,0
317,0
10290,0
13670,0
5168,0
11039,0
11786,0
1912,0
12932,0
6135,0
12752,0
10200,0
11750,0
11020,0
6130,0
1521,0
4435,0
7522,0
138,0
6494,0
5067,0
11567,0
3164,0
5509,0
9992,0
2940,0
11612,0
8798,0
7055,0
2627,0
9572,0
11471,0
12360,0
4953,0
2737,0
12813,0
6344,0
6301,0
4997,0
11933,0
5183,0
5635,0
4211,0
14837,0
5601,0
9283,0
13083,0
13105,0
13969,0
3362,0
13265,0
11206,0
12636,0
11157,0
10855,0
3147,0
8262,0
14218,0
13120,0
10666,0
14045,0
4846,0
4454,0
1291,0
9206,0
12290,0
7618,0
8016,0
9261,0
10844,0
3499,0
2191,0
10621,0
5358,0
3036,0
11620,0
13890,0
11178,0
11441,0
6093,0
2982,0
10203,0
8943,0
9747,0
2016,0
8506,0
4989,0
1535,0
10699,0
6743,0
5173,0
4898,0
6572,0
12140,0
7861,0
14592,0
1187,0
12411,0
14502,0
7074,0
13646,0
4135,0
6351,0
7399,0
4699,0
1759,0
12839,0
6891,0
8651,0
100,0
3506,0
10193,0
8475,0
12315,0
7990,0
2066,0
14936,0
5691,0
3169,0
14935,0
11849,0
3775,0
4403,0
10069,0
10837,0
7993,0
3518,0
12782,0
12031,0
13168,0
174,0
663,0
8242,0
11395,0
3030,0
532,0
6982,0
1079,0
1304,0
8686,0
13627,0
5869,0
11984,0
5380,0
487,0
7352,0
2075,0
164,0
14517,0
12120,0
1907,0
3833,0
5226,0
13999,0
429,0
2521,0
3908,0
10447,0
7645,0
669,0
1571,0
12645,0
14715,0
9896,0
5526,0
83,0
4550,0
4061,0
15,0
14236,0
11399,0
8693,0
6901,0
7904,0
10843,0
14053,0
2921,0
3865,0
3496,0
3612,0
14941,0
7346,0
13844,0
14779,0
7438,0
10457,0
4359,0
3366,0
11646,0
7824,0
3614,0
8182,0
7214,0
4810,0
8940,0
12699,0
11810,0
9508,0
1942,0
9546,0
6136,0
14184,0
13230,0
613,0
9315,0
3508,0
1241,0
14851,0
5789,0
8606,0
11121,0
11952,0
7325,0
14532,0
463,0
7573,0
1541,0
6914,0
4686,0
12577,0
6087,0
3490,0
4482,0
1181,0
3915,0
2797,0
3361,0
14375,0
14952,0
7313,0
241,0
11428,0
7265,0
12847,0
6392,0
1984,0
9071,0
2122,0
10234,0
7357,0
11830,0
14868,0
10751,0
14390,0
3507,0
3921,0
458,0
9231,0
5002,0
3876,0
9370,0
14956,0
11401,0
14444,0
9697,0
3260,0
2235,0
7411,0
8045,0
5949,0
13769,0
1200,0
3815,0
14326,0
11907,0
6522,0
9940,0
1607,0
2992,0
14576,0
13158,0
9353,0
11339,0
9706,0
6440,0
2885,0
1232,0
1793,0
14312,0
5860,0
5479,0
11076,0
2755,0
